userID,placeID,rating
1001,0001,4
1002,0001,5
1003,0001,4
1004,0001,3
1005,0001,5
1006,0001,5
1007,0001,5
1008,0001,5
1009,0001,4
1010,0001,5
1011,0001,5
1012,0001,5
1013,0001,5
1014,0001,5
1015,0001,5
1024,0001,5
1025,0001,5
1026,0001,5
1027,0001,5
1028,0001,3
1029,0001,4
1030,0001,5
1031,0001,5
1032,0001,4
1037,0001,5
1040,0001,3
1097,0001,5
1098,0001,5
1115,0001,5
1001,0002,5
1002,0002,5
1003,0002,5
1004,0002,5
1005,0002,5
1006,0002,5
1007,0002,5
1008,0002,5
1009,0002,5
1010,0002,5
1011,0002,5
1012,0002,4
1013,0002,3
1014,0002,2
1015,0002,4
1016,0002,4
1017,0002,4
1018,0002,5
1019,0002,5
1020,0002,5
1021,0002,5
1022,0002,4
1023,0002,4
1024,0002,5
1025,0002,5
1026,0002,5
1027,0002,4
1028,0002,5
1029,0002,5
1030,0002,5
1031,0002,5
1032,0002,4
1033,0002,4
1034,0002,4
1035,0002,5
1036,0002,5
1037,0002,5
1038,0002,5
1039,0002,5
1040,0002,5
1041,0002,4
1042,0002,4
1043,0002,5
1044,0002,4
1045,0002,4
1046,0002,4
1047,0002,5
1048,0002,5
1049,0002,4
1050,0002,5
1001,0003,5
1002,0003,5
1021,0003,5
1022,0003,5
1023,0003,5
1059,0003,5
1060,0003,5
1065,0003,5
1066,0003,5
1067,0003,5
1068,0003,5
1069,0003,5
1099,0003,5
1100,0003,3
1101,0003,5
1102,0003,5
1103,0003,5
1104,0003,4
1105,0003,5
1106,0003,4
1107,0003,5
1108,0003,4
1040,0003,5
1109,0003,5
1001,0004,2
1002,0004,5
1021,0004,5
1022,0004,5
1023,0004,5
1059,0004,4
1060,0004,3
1065,0004,4
1066,0004,5
1067,0004,5
1068,0004,5
1069,0004,4
1099,0004,3
1100,0004,5
1101,0004,5
1102,0004,5
1103,0004,5
1104,0004,5
1105,0004,5
1106,0004,5
1107,0004,4
1108,0004,5
1061,0004,5
1062,0004,5
1063,0004,5
1064,0004,5
1070,0004,5
1071,0004,5
1072,0004,5
1073,0004,5
1074,0004,5
1075,0004,5
1076,0004,5
1077,0004,5
1078,0004,5
1079,0004,5
1080,0004,5
1081,0004,5
1082,0004,5
1083,0004,5
1084,0004,5
1085,0004,5
1086,0004,5
1087,0004,4
1088,0004,5
1089,0004,5
1090,0004,5
1091,0004,4
1092,0004,5
1093,0004,5
