userID,Rcuisine
U1001,American
U1002,Western
U1003,Western
U1004,Bakery
U1004,Bakery
U1004,Japanese
U1004,American
U1004,Western
U1004,Bakery
U1004,Cafe
U1004,Western
U1004,Cafe
U1005,American
U1006,Western
U1007,Indonesian
U1008,Cafe
U1008,Western
U1008,Coffee
U1008,Sundanese
U1008,Bakery
U1008,American
U1008,Asian
U1008,American
U1008,Cafe
U1008,Italian
U1009,Grill
U1009,Grill
U1009,Indonesian
U1009,Cafe
U1009,Bakery
U1009,Cafe
U1009,Western
U1010,Western
U1011,Western
U1012,American
U1013,Japanese
U1014,Japanese
U1014,Grill
U1015,Western
U1016,Cafe
U1016,American
U1016,Indonesian
U1016,Indonesian
U1016,Japanese
U1016,Western
U1016,American
U1016,Asian
U1016,Western
U1016,Western
U1016,Western
U1016,Grill
U1016,Sundanese
U1016,Western
U1017,Chinese
U1018,Western
U1019,Indonesian
U1020,Western
U1021,Italian
U1021,Indonesian
U1021,Chinese
U1021,American
U1022,Western
U1023,Western
U1024,Asian
U1025,Western
U1026,Western
U1027,Indonesian
U1028,Western
U1029,Western
U1030,Western
U1031,Western
U1032,Western
U1033,Western
U1034,Western
U1035,Indonesian
U1036,Western
U1037,Western
U1038,Western
U1039,Indonesian
U1040,Italian
U1041,American
U1042,Western
U1043,American
U1044,Western
U1045,Asian
U1045,Western
U1045,Asian
U1045,Western
U1046,Cafe
U1047,American
U1048,Western
U1049,Western
U1050,Western
U1051,Western
U1052,Bakery
U1053,Western
U1054,Western
U1055,Bakery
U1056,Western
U1057,American
U1058,Sundanese
U1059,Western
U1060,American
U1060,Cafe
U1060,Italian
U1060,Coffee
U1060,American
U1060,American
U1060,Western
U1060,Western
U1060,Grill
U1060,Cafe
U1060,Seafood
U1060,Bakery
U1060,Italian
U1061,Western
U1062,Western
U1063,Western
U1064,Western
U1065,Western
U1066,Western
U1067,Western
U1068,Western
U1069,Western
U1070,Western
U1071,Western
U1072,Western
U1073,American
U1074,Sushi
U1075,Western
U1076,Western
U1077,Western
U1078,Western
U1079,Western
U1080,Western
U1081,Western
U1082,Western
U1083,Western
U1084,Western
U1085,Western
U1086,Italian
U1087,Chinese
U1088,Western
U1089,Western
U1090,American
U1091,American
U1091,Western
U1092,Indonesian
U1093,Japanese
U1094,Western
U1095,Italian
U1096,Western
U1097,Western
U1098,Western
U1099,Western
U1100,Western
U1101,Chinese
U1101,Italian
U1101,Cafe
U1101,Asian
U1101,Western
U1101,American
U1101,American
U1101,American
U1101,Cafe
U1101,Indonesian
U1101,Cafe
U1101,Cafe
U1101,Western
U1101,Bakery
U1101,Grill
U1102,Italian
U1103,Western
U1104,Italian
U1105,Cafe
U1106,Grill
U1107,Western
U1108,Cafe
U1108,Sushi
U1108,American
U1108,Bakery
U1108,Western
U1108,Bakery
U1108,American
U1108,Grill
U1108,American
U1108,Asian
U1108,Italian
U1108,Chinese
U1108,Cafe
U1108,Cafe
U1108,Japanese
U1108,Indonesian
U1108,Indonesian
U1108,Seafood
U1109,Western
U1110,Western
U1111,Western
U1112,Western
U1113,American
U1114,Western
U1115,Indonesian
U1116,Western
U1117,Asian
U1118,Italian
U1119,Western
U1120,Western
U1121,Western
U1122,Asian
U1123,Western
U1124,Western
U1125,Western
U1126,Western
U1127,Western
U1128,Cafe
U1128,Bakery
U1128,Italian
U1128,Western
U1129,Western
U1130,Western
U1131,Western
U1132,Western
U1133,Western
U1134,Western
U1135,Asian
U1135,Grill
U1135,Asian
U1135,Seafood
U1135,Western
U1135,Western
U1135,Western
U1135,Cafe
U1135,Italian
U1135,Seafood
U1135,Grill
U1135,Western
U1135,Bakery
U1135,Western
U1135,Sundanese
U1135,American
U1135,Indonesian
U1135,Asian
U1135,Japanese
U1135,Sundanese
U1135,Asian
U1135,Sundanese
U1135,Coffee
U1135,Bakery
U1135,Bakery
U1135,Seafood
U1135,Western
U1135,American
U1135,Asian
U1135,Grill
U1135,Western
U1135,Sushi
U1135,Sundanese
U1135,Bakery
U1135,American
U1135,Sundanese
U1135,Western
U1135,Cafe
U1135,Western
U1135,Indonesian
U1135,Asian
U1135,Bakery
U1135,Bakery
U1135,Seafood
U1135,Western
U1135,European
U1135,Indonesian
U1135,Western
U1135,Asian
U1135,Asian
U1135,Western
U1135,Asian
U1135,Seafood
U1135,Seafood
U1135,Indonesian
U1135,Chinese
U1135,Bakery
U1135,American
U1135,Western
U1135,Asian
U1135,Western
U1135,Cafe
U1135,Seafood
U1135,American
U1135,Asian
U1135,Indonesian
U1135,Western
U1135,Indonesian
U1135,Cafe_Pub_Brewery
U1135,Sundanese
U1135,Cafe
U1135,Western
U1135,Chinese
U1135,Western
U1135,Seafood
U1135,Indonesian
U1135,Western
U1135,Bakery
U1135,Western
U1135,Bakery
U1135,Western
U1135,Grill
U1135,Seafood
U1135,Asian
U1135,American
U1135,Indonesian
U1135,Western
U1135,Western
U1135,Indonesian
U1135,American
U1135,Indonesian
U1135,Italian
U1135,Western
U1135,American
U1135,Western
U1135,North_Seafood
U1135,Asian
U1135,Asian
U1135,Grill
U1135,Western
U1135,American
U1135,Bakery
U1135,Cafe
U1136,Western
U1137,Western
U1138,Italian
